"code","funding","fundpop","fundeq","fundpov","fundter","pop","popurb","cases","shp2","dep","mun","area","party","trfpop","dens","infpop","quintile","grp","agr"
1101,1613646.1,580565.980549469,182919.845496183,738633.42439481,111526.841534688,110511,57.9,1007,1,"Ahuachapán","Ahuachapán",244.84,"PCN",14.6016785659346,0.451360071883679,9.11221507361258,5,2,3
1108,544869.55,263245.166098665,182919.845496183,78147.4021743475,20557.1238194758,8383,35.1,63,2,"Ahuachapán","Apaneca",45.13,"ARENA",64.9969640939998,0.185752271216486,7.51520935226053,3,2,3
1102,1183131.28,766651.438486879,182919.845496183,203204.859322107,30355.1273904248,33587,62.1,341,3,"Ahuachapán","Atiquizaya",66.64,"ARENA",35.225869532855,0.504006602641056,10.152737666359,5,3,2
1105,755903.98,425020.355196486,182919.845496183,120164.062952622,27799.7197784757,12786,46.2,75,4,"Ahuachapán","Concepción de Ataco",61.03,"ARENA",59.1196605662443,0.209503522857611,5.86579070858752,4,2,3
1112,398106.04,173402.141926927,182919.845496183,36768.8964147506,5015.15076783578,8171,77.3,81,5,"Ahuachapán","El Refugio",11.01,"PCN",48.7218259698935,0.742143505903724,9.91310733080406,2,3,2
1107,988385.6,528837.453831836,182919.845496183,249192.984426551,27435.3104220481,19037,6.9,76,6,"Ahuachapán","Guaymango",60.23,"FMLN",51.9191889478384,0.31607172505396,3.99222566580869,4,2,3
1106,1385880.52,733010.40469796,182919.845496183,349718.639592207,120231.627036354,28599,24.2,58,7,"Ahuachapán","Jujutla",263.95,"ARENA",48.4590552117207,0.108350066300436,2.02804293856429,5,2,3
1103,1624160.84,866029.042626861,182919.845496183,472207.677308135,103004.270711236,42607,29.1,95,8,"Ahuachapán","San Francisco Menéndez",226.13,"PCN-PDC",38.119577534208,0.18841816654137,2.2296805689206,5,2,3
1110,520469.4,243306.463414805,182919.845496183,72228.3704999808,22014.7512451865,9194,12.3,47,9,"Ahuachapán","San Lorenzo",48.33,"FPS",56.6096802262345,0.190233809228223,5.11202958451164,2,2,3
1109,496045.4,226900.34439214,182919.845496183,67358.0235515666,18867.1884290425,7773,24.3,31,10,"Ahuachapán","San Pedro Puxtla",41.12,"ARENA",63.8164672584588,0.189032101167315,3.98816415798276,2,2,3
1104,1083864.77,563691.120983299,182919.845496183,268936.553401695,68317.2500962771,29858,16.4,99,11,"Ahuachapán","Tacuba",149.98,"PCN",36.3006487373568,0.199079877316976,3.31569428628843,5,2,3
