year,contab,class,kind,group,amount,id,shp,department,municipality,population
2010,8101,ACR,Egresos,AMTDEU,174838.490234375,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,ACR,Egresos,GASTOS,3472433.5930292606,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,ACR,Egresos,INVERS,2099882.0291900635,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,ACR,Ingresos,INGDEU,100000.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,ACR,Ingresos,INGPRP,2730930.332092285,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,ACR,Ingresos,TRFREC,2853059.3307507634,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,APR,Egresos,AMTDEU,214704.359375,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,APR,Egresos,GASTOS,4545559.09375,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,APR,Egresos,INVERS,1605586.0390625,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,APR,Ingresos,INGDEU,0.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,APR,Ingresos,INGPRP,4192262.125,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,APR,Ingresos,TRFREC,2173587.375,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,MOD,Egresos,AMTDEU,200704.359375,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,MOD,Egresos,GASTOS,4353384.825317383,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,MOD,Egresos,INVERS,2771972.2915039062,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,MOD,Ingresos,INGDEU,100000.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,MOD,Ingresos,INGPRP,4192262.125,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,MOD,Ingresos,TRFREC,3033799.34375,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,ACR,Egresos,AMTDEU,1075869.7739257812,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,ACR,Egresos,GASTOS,3836137.733428478,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,ACR,Egresos,INVERS,1715625.1178016665,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,ACR,Ingresos,INGDEU,1122255.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,ACR,Ingresos,INGPRP,2841217.2803649902,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,ACR,Ingresos,TRFREC,2492624.85798645,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,APR,Egresos,AMTDEU,214704.359375,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,APR,Egresos,GASTOS,4554527.67578125,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,APR,Egresos,INVERS,1643711.486328125,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,APR,Ingresos,INGDEU,0.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,APR,Ingresos,INGPRP,4306947.75,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,APR,Ingresos,TRFREC,2105995.6875,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,MOD,Egresos,AMTDEU,1088048.546875,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,MOD,Egresos,GASTOS,4741444.086425781,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,MOD,Egresos,INVERS,2108979.4267578125,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,MOD,Ingresos,INGDEU,1122255.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,MOD,Ingresos,INGPRP,4306947.75,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,MOD,Ingresos,TRFREC,2509269.19140625,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,ACR,Egresos,AMTDEU,110001.38989257812,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,ACR,Egresos,GASTOS,4020159.026395321,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,ACR,Egresos,INVERS,2166679.3305015564,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,ACR,Ingresos,INGDEU,256492.6875,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,ACR,Ingresos,INGPRP,2944718.077896118,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,ACR,Ingresos,TRFREC,2673546.4293441772,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,APR,Egresos,AMTDEU,106365.09375,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,APR,Egresos,GASTOS,5389870.58984375,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,APR,Egresos,INVERS,2418757.978515625,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,APR,Ingresos,INGDEU,0.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,APR,Ingresos,INGPRP,5396790.65625,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,APR,Ingresos,TRFREC,2518203.0,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,MOD,Egresos,AMTDEU,106365.09375,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,MOD,Egresos,GASTOS,5338205.58984375,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,MOD,Egresos,INVERS,3014204.650390625,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,MOD,Ingresos,INGDEU,256492.6875,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,MOD,Ingresos,INGPRP,5396790.65625,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,MOD,Ingresos,TRFREC,2805491.984375,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,ACR,Egresos,AMTDEU,226637.451171875,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,ACR,Egresos,GASTOS,4453212.1915540695,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,ACR,Egresos,INVERS,2826644.3689899445,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,ACR,Ingresos,INGDEU,743507.3203125,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,ACR,Ingresos,INGPRP,3803864.598007679,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,ACR,Ingresos,TRFREC,3164803.961933613,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,APR,Egresos,AMTDEU,216113.15625,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,APR,Egresos,GASTOS,5193553.734375,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,APR,Egresos,INVERS,3124791.681640625,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,APR,Ingresos,INGDEU,743507.3125,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,APR,Ingresos,INGPRP,4747635.451171875,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,APR,Ingresos,TRFREC,3043315.75,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,MOD,Egresos,AMTDEU,231113.15625,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,MOD,Egresos,GASTOS,5017398.3515625,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,MOD,Egresos,INVERS,4544117.810546875,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,MOD,Ingresos,INGDEU,1487014.640625,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,MOD,Ingresos,INGPRP,4747635.451171875,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,MOD,Ingresos,TRFREC,3557979.16796875,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,ACR,Egresos,AMTDEU,261990.25,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,ACR,Egresos,GASTOS,4549758.636907518,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,ACR,Egresos,INVERS,3239991.8735752106,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,ACR,Ingresos,INGDEU,881023.2509765625,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,ACR,Ingresos,INGPRP,3872704.8514966965,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,ACR,Ingresos,TRFREC,3135131.305078203,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,APR,Egresos,AMTDEU,239749.375,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,APR,Egresos,GASTOS,5938003.650390625,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,APR,Egresos,INVERS,2649779.9892578125,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,APR,Ingresos,INGDEU,0.0,1101,1,Ahuachapán,Ahuachapán,110511.0
