year,contab,kind,group,amount,id,shp,department,municipality,population
2010,8101,Obligaciones,OBLGCP,217287.5421142578,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,Obligaciones,OBLGLP,33110499.90625,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,Recursos,EXISBU,17856984.541015625,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,Recursos,FDINVF,3865647.8095703125,1101,1,Ahuachapán,Ahuachapán,110511.0
2010,8101,Recursos,INVPRY,58909.16796875,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,Obligaciones,OBLGCP,250882.40533447266,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,Obligaciones,OBLGLP,33654790.269592285,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,Recursos,EXISBU,17848604.022705078,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,Recursos,FDINVF,4384200.6103515625,1101,1,Ahuachapán,Ahuachapán,110511.0
2011,8101,Recursos,INVPRY,84935.91235351562,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,Obligaciones,OBLGCP,262438.29296875,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,Obligaciones,OBLGLP,38274272.23870242,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,Recursos,EXISBU,18141076.393310547,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,Recursos,FDINVF,4291781.4912109375,1101,1,Ahuachapán,Ahuachapán,110511.0
2012,8101,Recursos,INVPRY,-0.2298583984375,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,Obligaciones,OBLGCP,329726.796875,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,Obligaciones,OBLGLP,45268515.71364502,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,Recursos,EXISBU,13824780.029785156,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,Recursos,FDINVF,6604322.982421875,1101,1,Ahuachapán,Ahuachapán,110511.0
2013,8101,Recursos,INVPRY,530302.7734375,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,Obligaciones,OBLGCP,642274.0556640625,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,Obligaciones,OBLGLP,39643654.806518555,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,Recursos,EXISBU,16482560.108886719,1101,1,Ahuachapán,Ahuachapán,110511.0
2014,8101,Recursos,FDINVF,6130096.461425781,1101,1,Ahuachapán,Ahuachapán,110511.0
